visits,month,day,quarter,dayofweek,weekend,lag1,lag2,lag3,lag4,lag5,lag6,lag7,bias
1814181,3,31,1,3,False,1635197.0,1667855.0,1561846.0,1277257.0,1250350.0,1333211.0,1526863.0,1
1700498,4,1,2,4,False,1814181.0,1635197.0,1667855.0,1561846.0,1277257.0,1250350.0,1333211.0,1
1619782,4,2,2,5,True,1700498.0,1814181.0,1635197.0,1667855.0,1561846.0,1277257.0,1250350.0,1
1444639,4,3,2,6,True,1619782.0,1700498.0,1814181.0,1635197.0,1667855.0,1561846.0,1277257.0,1
1711119,4,4,2,0,False,1444639.0,1619782.0,1700498.0,1814181.0,1635197.0,1667855.0,1561846.0,1
1758199,4,5,2,1,False,1711119.0,1444639.0,1619782.0,1700498.0,1814181.0,1635197.0,1667855.0,1
1790074,4,6,2,2,False,1758199.0,1711119.0,1444639.0,1619782.0,1700498.0,1814181.0,1635197.0,1
1756136,4,7,2,3,False,1790074.0,1758199.0,1711119.0,1444639.0,1619782.0,1700498.0,1814181.0,1
1636235,4,8,2,4,False,1756136.0,1790074.0,1758199.0,1711119.0,1444639.0,1619782.0,1700498.0,1
2095179,4,9,2,5,True,1636235.0,1756136.0,1790074.0,1758199.0,1711119.0,1444639.0,1619782.0,1
1432367,4,10,2,6,True,2095179.0,1636235.0,1756136.0,1790074.0,1758199.0,1711119.0,1444639.0,1
1848463,4,11,2,0,False,1432367.0,2095179.0,1636235.0,1756136.0,1790074.0,1758199.0,1711119.0,1
1747761,4,12,2,1,False,1848463.0,1432367.0,2095179.0,1636235.0,1756136.0,1790074.0,1758199.0,1
1750288,4,13,2,2,False,1747761.0,1848463.0,1432367.0,2095179.0,1636235.0,1756136.0,1790074.0,1
1693165,4,14,2,3,False,1750288.0,1747761.0,1848463.0,1432367.0,2095179.0,1636235.0,1756136.0,1
1597908,4,15,2,4,False,1693165.0,1750288.0,1747761.0,1848463.0,1432367.0,2095179.0,1636235.0,1
1291389,4,16,2,5,True,1597908.0,1693165.0,1750288.0,1747761.0,1848463.0,1432367.0,2095179.0,1
1468522,4,17,2,6,True,1291389.0,1597908.0,1693165.0,1750288.0,1747761.0,1848463.0,1432367.0,1
2164236,4,18,2,0,False,1468522.0,1291389.0,1597908.0,1693165.0,1750288.0,1747761.0,1848463.0,1
2649986,4,19,2,1,False,2164236.0,1468522.0,1291389.0,1597908.0,1693165.0,1750288.0,1747761.0,1
2523439,4,20,2,2,False,2649986.0,2164236.0,1468522.0,1291389.0,1597908.0,1693165.0,1750288.0,1
2218939,4,21,2,3,False,2523439.0,2649986.0,2164236.0,1468522.0,1291389.0,1597908.0,1693165.0,1
1602442,4,22,2,4,False,2218939.0,2523439.0,2649986.0,2164236.0,1468522.0,1291389.0,1597908.0,1
1347570,4,23,2,5,True,1602442.0,2218939.0,2523439.0,2649986.0,2164236.0,1468522.0,1291389.0,1
1449896,4,24,2,6,True,1347570.0,1602442.0,2218939.0,2523439.0,2649986.0,2164236.0,1468522.0,1
1774904,4,25,2,0,False,1449896.0,1347570.0,1602442.0,2218939.0,2523439.0,2649986.0,2164236.0,1
1997750,4,26,2,1,False,1774904.0,1449896.0,1347570.0,1602442.0,2218939.0,2523439.0,2649986.0,1
1777110,4,27,2,2,False,1997750.0,1774904.0,1449896.0,1347570.0,1602442.0,2218939.0,2523439.0,1
1924583,4,28,2,3,False,1777110.0,1997750.0,1774904.0,1449896.0,1347570.0,1602442.0,2218939.0,1
1690288,4,29,2,4,False,1924583.0,1777110.0,1997750.0,1774904.0,1449896.0,1347570.0,1602442.0,1
1441091,4,30,2,5,True,1690288.0,1924583.0,1777110.0,1997750.0,1774904.0,1449896.0,1347570.0,1
1402524,5,1,2,6,True,1441091.0,1690288.0,1924583.0,1777110.0,1997750.0,1774904.0,1449896.0,1
1740216,5,2,2,0,False,1402524.0,1441091.0,1690288.0,1924583.0,1777110.0,1997750.0,1774904.0,1
1774034,5,3,2,1,False,1740216.0,1402524.0,1441091.0,1690288.0,1924583.0,1777110.0,1997750.0,1
1770907,5,4,2,2,False,1774034.0,1740216.0,1402524.0,1441091.0,1690288.0,1924583.0,1777110.0,1
1848286,5,5,2,3,False,1770907.0,1774034.0,1740216.0,1402524.0,1441091.0,1690288.0,1924583.0,1
1764590,5,6,2,4,False,1848286.0,1770907.0,1774034.0,1740216.0,1402524.0,1441091.0,1690288.0,1
1520773,5,7,2,5,True,1764590.0,1848286.0,1770907.0,1774034.0,1740216.0,1402524.0,1441091.0,1
1569476,5,8,2,6,True,1520773.0,1764590.0,1848286.0,1770907.0,1774034.0,1740216.0,1402524.0,1
1792585,5,9,2,0,False,1569476.0,1520773.0,1764590.0,1848286.0,1770907.0,1774034.0,1740216.0,1
1784881,5,10,2,1,False,1792585.0,1569476.0,1520773.0,1764590.0,1848286.0,1770907.0,1774034.0,1
1752915,5,11,2,2,False,1784881.0,1792585.0,1569476.0,1520773.0,1764590.0,1848286.0,1770907.0,1
1806164,5,12,2,3,False,1752915.0,1784881.0,1792585.0,1569476.0,1520773.0,1764590.0,1848286.0,1
1689980,5,13,2,4,False,1806164.0,1752915.0,1784881.0,1792585.0,1569476.0,1520773.0,1764590.0,1
1370037,5,14,2,5,True,1689980.0,1806164.0,1752915.0,1784881.0,1792585.0,1569476.0,1520773.0,1
1380666,5,15,2,6,True,1370037.0,1689980.0,1806164.0,1752915.0,1784881.0,1792585.0,1569476.0,1
1755660,5,16,2,0,False,1380666.0,1370037.0,1689980.0,1806164.0,1752915.0,1784881.0,1792585.0,1
1789479,5,17,2,1,False,1755660.0,1380666.0,1370037.0,1689980.0,1806164.0,1752915.0,1784881.0,1
1935656,5,18,2,2,False,1789479.0,1755660.0,1380666.0,1370037.0,1689980.0,1806164.0,1752915.0,1
1789105,5,19,2,3,False,1935656.0,1789479.0,1755660.0,1380666.0,1370037.0,1689980.0,1806164.0,1
1625206,5,20,2,4,False,1789105.0,1935656.0,1789479.0,1755660.0,1380666.0,1370037.0,1689980.0,1
1295560,5,21,2,5,True,1625206.0,1789105.0,1935656.0,1789479.0,1755660.0,1380666.0,1370037.0,1
1360652,5,22,2,6,True,1295560.0,1625206.0,1789105.0,1935656.0,1789479.0,1755660.0,1380666.0,1
1833312,5,23,2,0,False,1360652.0,1295560.0,1625206.0,1789105.0,1935656.0,1789479.0,1755660.0,1
1765873,5,24,2,1,False,1833312.0,1360652.0,1295560.0,1625206.0,1789105.0,1935656.0,1789479.0,1
1792680,5,25,2,2,False,1765873.0,1833312.0,1360652.0,1295560.0,1625206.0,1789105.0,1935656.0,1
1767400,5,26,2,3,False,1792680.0,1765873.0,1833312.0,1360652.0,1295560.0,1625206.0,1789105.0,1
1774639,5,27,2,4,False,1767400.0,1792680.0,1765873.0,1833312.0,1360652.0,1295560.0,1625206.0,1
1359649,5,28,2,5,True,1774639.0,1767400.0,1792680.0,1765873.0,1833312.0,1360652.0,1295560.0,1
1405702,5,29,2,6,True,1359649.0,1774639.0,1767400.0,1792680.0,1765873.0,1833312.0,1360652.0,1
1584295,5,30,2,0,False,1405702.0,1359649.0,1774639.0,1767400.0,1792680.0,1765873.0,1833312.0,1
1647499,5,31,2,1,False,1584295.0,1405702.0,1359649.0,1774639.0,1767400.0,1792680.0,1765873.0,1
1678428,6,1,2,2,False,1647499.0,1584295.0,1405702.0,1359649.0,1774639.0,1767400.0,1792680.0,1
1626690,6,2,2,3,False,1678428.0,1647499.0,1584295.0,1405702.0,1359649.0,1774639.0,1767400.0,1
1617475,6,3,2,4,False,1626690.0,1678428.0,1647499.0,1584295.0,1405702.0,1359649.0,1774639.0,1
1382240,6,4,2,5,True,1617475.0,1626690.0,1678428.0,1647499.0,1584295.0,1405702.0,1359649.0,1
1462503,6,5,2,6,True,1382240.0,1617475.0,1626690.0,1678428.0,1647499.0,1584295.0,1405702.0,1
1757534,6,6,2,0,False,1462503.0,1382240.0,1617475.0,1626690.0,1678428.0,1647499.0,1584295.0,1
1784452,6,7,2,1,False,1757534.0,1462503.0,1382240.0,1617475.0,1626690.0,1678428.0,1647499.0,1
1689914,6,8,2,2,False,1784452.0,1757534.0,1462503.0,1382240.0,1617475.0,1626690.0,1678428.0,1
1538764,6,9,2,3,False,1689914.0,1784452.0,1757534.0,1462503.0,1382240.0,1617475.0,1626690.0,1
1378697,6,10,2,4,False,1538764.0,1689914.0,1784452.0,1757534.0,1462503.0,1382240.0,1617475.0,1
1285998,6,11,2,5,True,1378697.0,1538764.0,1689914.0,1784452.0,1757534.0,1462503.0,1382240.0,1
1289880,6,12,2,6,True,1285998.0,1378697.0,1538764.0,1689914.0,1784452.0,1757534.0,1462503.0,1
1607529,6,13,2,0,False,1289880.0,1285998.0,1378697.0,1538764.0,1689914.0,1784452.0,1757534.0,1
1653887,6,14,2,1,False,1607529.0,1289880.0,1285998.0,1378697.0,1538764.0,1689914.0,1784452.0,1
1599378,6,15,2,2,False,1653887.0,1607529.0,1289880.0,1285998.0,1378697.0,1538764.0,1689914.0,1
1560206,6,16,2,3,False,1599378.0,1653887.0,1607529.0,1289880.0,1285998.0,1378697.0,1538764.0,1
1451161,6,17,2,4,False,1560206.0,1599378.0,1653887.0,1607529.0,1289880.0,1285998.0,1378697.0,1
1279995,6,18,2,5,True,1451161.0,1560206.0,1599378.0,1653887.0,1607529.0,1289880.0,1285998.0,1
1329401,6,19,2,6,True,1279995.0,1451161.0,1560206.0,1599378.0,1653887.0,1607529.0,1289880.0,1
1643486,6,20,2,0,False,1329401.0,1279995.0,1451161.0,1560206.0,1599378.0,1653887.0,1607529.0,1
1669151,6,21,2,1,False,1643486.0,1329401.0,1279995.0,1451161.0,1560206.0,1599378.0,1653887.0,1
1629037,6,22,2,2,False,1669151.0,1643486.0,1329401.0,1279995.0,1451161.0,1560206.0,1599378.0,1
1914899,6,23,2,3,False,1629037.0,1669151.0,1643486.0,1329401.0,1279995.0,1451161.0,1560206.0,1
1525665,6,24,2,4,False,1914899.0,1629037.0,1669151.0,1643486.0,1329401.0,1279995.0,1451161.0,1
1186263,6,25,2,5,True,1525665.0,1914899.0,1629037.0,1669151.0,1643486.0,1329401.0,1279995.0,1
1282109,6,26,2,6,True,1186263.0,1525665.0,1914899.0,1629037.0,1669151.0,1643486.0,1329401.0,1
1725856,6,27,2,0,False,1282109.0,1186263.0,1525665.0,1914899.0,1629037.0,1669151.0,1643486.0,1
1715507,6,28,2,1,False,1725856.0,1282109.0,1186263.0,1525665.0,1914899.0,1629037.0,1669151.0,1
2010241,6,29,2,2,False,1715507.0,1725856.0,1282109.0,1186263.0,1525665.0,1914899.0,1629037.0,1
2012923,6,30,2,3,False,2010241.0,1715507.0,1725856.0,1282109.0,1186263.0,1525665.0,1914899.0,1
1954525,7,1,3,4,False,2012923.0,2010241.0,1715507.0,1725856.0,1282109.0,1186263.0,1525665.0,1
1619019,7,2,3,5,True,1954525.0,2012923.0,2010241.0,1715507.0,1725856.0,1282109.0,1186263.0,1
1700918,7,3,3,6,True,1619019.0,1954525.0,2012923.0,2010241.0,1715507.0,1725856.0,1282109.0,1
2457009,7,4,3,0,False,1700918.0,1619019.0,1954525.0,2012923.0,2010241.0,1715507.0,1725856.0,1
6038766,7,5,3,1,False,2457009.0,1700918.0,1619019.0,1954525.0,2012923.0,2010241.0,1715507.0,1
16592075,7,6,3,2,False,6038766.0,2457009.0,1700918.0,1619019.0,1954525.0,2012923.0,2010241.0,1
5025785,7,7,3,3,False,16592075.0,6038766.0,2457009.0,1700918.0,1619019.0,1954525.0,2012923.0,1
1874846,7,8,3,4,False,5025785.0,16592075.0,6038766.0,2457009.0,1700918.0,1619019.0,1954525.0,1
1665463,7,9,3,5,True,1874846.0,5025785.0,16592075.0,6038766.0,2457009.0,1700918.0,1619019.0,1
1717206,7,10,3,6,True,1665463.0,1874846.0,5025785.0,16592075.0,6038766.0,2457009.0,1700918.0,1
5181746,7,11,3,0,False,1717206.0,1665463.0,1874846.0,5025785.0,16592075.0,6038766.0,2457009.0,1
2108886,7,12,3,1,False,5181746.0,1717206.0,1665463.0,1874846.0,5025785.0,16592075.0,6038766.0,1
1951948,7,13,3,2,False,2108886.0,5181746.0,1717206.0,1665463.0,1874846.0,5025785.0,16592075.0,1
1933979,7,14,3,3,False,1951948.0,2108886.0,5181746.0,1717206.0,1665463.0,1874846.0,5025785.0,1
1925883,7,15,3,4,False,1933979.0,1951948.0,2108886.0,5181746.0,1717206.0,1665463.0,1874846.0,1
1469541,7,16,3,5,True,1925883.0,1933979.0,1951948.0,2108886.0,5181746.0,1717206.0,1665463.0,1
1497777,7,17,3,6,True,1469541.0,1925883.0,1933979.0,1951948.0,2108886.0,5181746.0,1717206.0,1
1760578,7,18,3,0,False,1497777.0,1469541.0,1925883.0,1933979.0,1951948.0,2108886.0,5181746.0,1
1725410,7,19,3,1,False,1760578.0,1497777.0,1469541.0,1925883.0,1933979.0,1951948.0,2108886.0,1
1708325,7,20,3,2,False,1725410.0,1760578.0,1497777.0,1469541.0,1925883.0,1933979.0,1951948.0,1
1836326,7,21,3,3,False,1708325.0,1725410.0,1760578.0,1497777.0,1469541.0,1925883.0,1933979.0,1
1688969,7,22,3,4,False,1836326.0,1708325.0,1725410.0,1760578.0,1497777.0,1469541.0,1925883.0,1
1572288,7,23,3,5,True,1688969.0,1836326.0,1708325.0,1725410.0,1760578.0,1497777.0,1469541.0,1
1680161,7,24,3,6,True,1572288.0,1688969.0,1836326.0,1708325.0,1725410.0,1760578.0,1497777.0,1
1875514,7,25,3,0,False,1680161.0,1572288.0,1688969.0,1836326.0,1708325.0,1725410.0,1760578.0,1
1866130,7,26,3,1,False,1875514.0,1680161.0,1572288.0,1688969.0,1836326.0,1708325.0,1725410.0,1
1844149,7,27,3,2,False,1866130.0,1875514.0,1680161.0,1572288.0,1688969.0,1836326.0,1708325.0,1
1712766,7,28,3,3,False,1844149.0,1866130.0,1875514.0,1680161.0,1572288.0,1688969.0,1836326.0,1
1618158,7,29,3,4,False,1712766.0,1844149.0,1866130.0,1875514.0,1680161.0,1572288.0,1688969.0,1
1482523,7,30,3,5,True,1618158.0,1712766.0,1844149.0,1866130.0,1875514.0,1680161.0,1572288.0,1
1640304,7,31,3,6,True,1482523.0,1618158.0,1712766.0,1844149.0,1866130.0,1875514.0,1680161.0,1
1864873,8,1,3,0,False,1640304.0,1482523.0,1618158.0,1712766.0,1844149.0,1866130.0,1875514.0,1
1732857,8,2,3,1,False,1864873.0,1640304.0,1482523.0,1618158.0,1712766.0,1844149.0,1866130.0,1
1723863,8,3,3,2,False,1732857.0,1864873.0,1640304.0,1482523.0,1618158.0,1712766.0,1844149.0,1
1702909,8,4,3,3,False,1723863.0,1732857.0,1864873.0,1640304.0,1482523.0,1618158.0,1712766.0,1
1674583,8,5,3,4,False,1702909.0,1723863.0,1732857.0,1864873.0,1640304.0,1482523.0,1618158.0,1
1581538,8,6,3,5,True,1674583.0,1702909.0,1723863.0,1732857.0,1864873.0,1640304.0,1482523.0,1
1521163,8,7,3,6,True,1581538.0,1674583.0,1702909.0,1723863.0,1732857.0,1864873.0,1640304.0,1
1788629,8,8,3,0,False,1521163.0,1581538.0,1674583.0,1702909.0,1723863.0,1732857.0,1864873.0,1
1773662,8,9,3,1,False,1788629.0,1521163.0,1581538.0,1674583.0,1702909.0,1723863.0,1732857.0,1
1896622,8,10,3,2,False,1773662.0,1788629.0,1521163.0,1581538.0,1674583.0,1702909.0,1723863.0,1
2028258,8,11,3,3,False,1896622.0,1773662.0,1788629.0,1521163.0,1581538.0,1674583.0,1702909.0,1
2125855,8,12,3,4,False,2028258.0,1896622.0,1773662.0,1788629.0,1521163.0,1581538.0,1674583.0,1
1575718,8,13,3,5,True,2125855.0,2028258.0,1896622.0,1773662.0,1788629.0,1521163.0,1581538.0,1
1645447,8,14,3,6,True,1575718.0,2125855.0,2028258.0,1896622.0,1773662.0,1788629.0,1521163.0,1
1880533,8,15,3,0,False,1645447.0,1575718.0,2125855.0,2028258.0,1896622.0,1773662.0,1788629.0,1
1726891,8,16,3,1,False,1880533.0,1645447.0,1575718.0,2125855.0,2028258.0,1896622.0,1773662.0,1
1696605,8,17,3,2,False,1726891.0,1880533.0,1645447.0,1575718.0,2125855.0,2028258.0,1896622.0,1
1634239,8,18,3,3,False,1696605.0,1726891.0,1880533.0,1645447.0,1575718.0,2125855.0,2028258.0,1
1586914,8,19,3,4,False,1634239.0,1696605.0,1726891.0,1880533.0,1645447.0,1575718.0,2125855.0,1
1472887,8,20,3,5,True,1586914.0,1634239.0,1696605.0,1726891.0,1880533.0,1645447.0,1575718.0,1
1655095,8,21,3,6,True,1472887.0,1586914.0,1634239.0,1696605.0,1726891.0,1880533.0,1645447.0,1
1891173,8,22,3,0,False,1655095.0,1472887.0,1586914.0,1634239.0,1696605.0,1726891.0,1880533.0,1
1820624,8,23,3,1,False,1891173.0,1655095.0,1472887.0,1586914.0,1634239.0,1696605.0,1726891.0,1
1825362,8,24,3,2,False,1820624.0,1891173.0,1655095.0,1472887.0,1586914.0,1634239.0,1696605.0,1
1710625,8,25,3,3,False,1825362.0,1820624.0,1891173.0,1655095.0,1472887.0,1586914.0,1634239.0,1
1676577,8,26,3,4,False,1710625.0,1825362.0,1820624.0,1891173.0,1655095.0,1472887.0,1586914.0,1
1730368,8,27,3,5,True,1676577.0,1710625.0,1825362.0,1820624.0,1891173.0,1655095.0,1472887.0,1
1788768,8,28,3,6,True,1730368.0,1676577.0,1710625.0,1825362.0,1820624.0,1891173.0,1655095.0,1
2420356,8,29,3,0,False,1788768.0,1730368.0,1676577.0,1710625.0,1825362.0,1820624.0,1891173.0,1
5700934,8,30,3,1,False,2420356.0,1788768.0,1730368.0,1676577.0,1710625.0,1825362.0,1820624.0,1
6281005,8,31,3,2,False,5700934.0,2420356.0,1788768.0,1730368.0,1676577.0,1710625.0,1825362.0,1
6878515,9,1,3,3,False,6281005.0,5700934.0,2420356.0,1788768.0,1730368.0,1676577.0,1710625.0,1
7599524,9,2,3,4,False,6878515.0,6281005.0,5700934.0,2420356.0,1788768.0,1730368.0,1676577.0,1
